filename,width,height,class,xmin,ymin,xmax,ymax
a04ae062-6f22-4214-b8b0-8329457cc82d.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,437.9204892966361,493.6863543788187,724.1590214067278,757.6374745417515
b3a49625-e5ce-4770-8a39-31c09a5b26ce.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,303.3639143730887,813.8492871690428,677.6758409785932,1180.448065173116
a4c07b32-e6ae-426c-9478-26ee6852be68.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,552.9051987767584,386.1507128309573,667.8899082568807,569.4501018329939
c2f084d6-f7d1-4d6b-83fb-42a4f3884de6.jpg,1200,1600,Jack Link's Original Beef Jerky 3.25oz,581.6513761467891,311.92660550458714,732.1100917431193,524.7706422018348
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,897.8593272171255,696.5376782077393,1003.0581039755352,801.6293279022402
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,905.1987767584098,545.010183299389,1032.4159021406729,652.5458248472505
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,1193.8837920489298,535.2342158859469,1303.9755351681958,654.989816700611
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,892.9663608562691,838.2892057026476,1017.7370030581039,933.6048879837067
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,963.914373088685,701.4256619144602,1098.4709480122324,811.4052953156822
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,1277.0642201834862,703.8696537678208,1404.2813455657492,826.0692464358452
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,1181.651376146789,696.5376782077393,1277.0642201834862,811.4052953156822
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,873.394495412844,965.376782077393,1020.183486238532,1097.3523421588593
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,1181.651376146789,989.8167006109979,1291.7431192660551,1099.79633401222
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,1267.2782874617735,994.7046843177188,1382.262996941896,1107.1283095723013
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,1186.5443425076453,838.2892057026476,1284.4036697247707,955.600814663951
45f62398-c1a1-4f71-95fa-5ec14b6e8e8f.jpg,1600,1200,Jack Link's Original Beef Jerky 3.25oz,1294.1896024464831,848.0651731160896,1394.4954128440368,953.1568228105906
4edc09cd-99b7-4b77-b63c-92c778aaf1e0.jpg,1200,1600,Jack Link's Original Beef Jerky 3.25oz,691.743119266055,612.8440366972477,809.1743119266054,700.9174311926605
4edc09cd-99b7-4b77-b63c-92c778aaf1e0.jpg,1200,1600,Jack Link's Original Beef Jerky 3.25oz,713.7614678899083,757.7981651376147,774.3119266055046,847.7064220183486
